id,name,species,types,height,weight,abilities,evolutions,facts,site_link,img_link
175,Togepi,Spike Ball Pokémon,['Fairy'],0.3 m (1′00″),1.5 kg (3.3 lbs),"['Hustle', 'Serene Grace', 'Super Luck']","['Togepi', 'Togetic', 'Togekiss']",The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,https://pokemondb.net/pokedex/togepi,https://img.pokemondb.net/artwork/togepi.jpg
176,Togetic,Happiness Pokémon,"['Fairy', 'Flying']",0.6 m (2′00″),3.2 kg (7.1 lbs),"['Hustle', 'Serene Grace', 'Super Luck']","['Togepi', 'Togetic', 'Togekiss']","They say that it will appear before kindhearted, caring people and shower them with happiness.",https://pokemondb.net/pokedex/togetic,https://img.pokemondb.net/artwork/togetic.jpg
177,Natu,Tiny Bird Pokémon,"['Psychic', 'Flying']",0.2 m (0′08″),2.0 kg (4.4 lbs),"['Synchronize', 'Early Bird', 'Magic Bounce']","['Natu', 'Xatu']","Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something.",https://pokemondb.net/pokedex/natu,https://img.pokemondb.net/artwork/natu.jpg
178,Xatu,Mystic Pokémon,"['Psychic', 'Flying']",1.5 m (4′11″),15.0 kg (33.1 lbs),"['Synchronize', 'Early Bird', 'Magic Bounce']","['Natu', 'Xatu']",They say that it stays still and quiet because it is seeing both the past and future at the same time.,https://pokemondb.net/pokedex/xatu,https://img.pokemondb.net/artwork/xatu.jpg
179,Mareep,Wool Pokémon,['Electric'],0.6 m (2′00″),7.8 kg (17.2 lbs),"['Static', 'Plus']","['Mareep', 'Flaaffy', 'Ampharos']","If static electricity builds in its body, its fleece doubles in volume. Touching it will shock you.",https://pokemondb.net/pokedex/mareep,https://img.pokemondb.net/artwork/mareep.jpg
180,Flaaffy,Wool Pokémon,['Electric'],0.8 m (2′07″),13.3 kg (29.3 lbs),"['Static', 'Plus']","['Mareep', 'Flaaffy', 'Ampharos']","As a result of storing too much electricity, it developed patches where even downy wool won’t grow.",https://pokemondb.net/pokedex/flaaffy,https://img.pokemondb.net/artwork/flaaffy.jpg
181,Ampharos,Light Pokémon,['Electric'],1.4 m (4′07″),61.5 kg (135.6 lbs),"['Static', 'Plus']","['Mareep', 'Flaaffy', 'Ampharos']",The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,https://pokemondb.net/pokedex/ampharos,https://img.pokemondb.net/artwork/ampharos.jpg
182,Bellossom,Flower Pokémon,['Grass'],0.4 m (1′04″),5.8 kg (12.8 lbs),"['Chlorophyll', 'Healer']","['Oddish', 'Gloom', 'Vileplume', 'Bellossom']",BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.,https://pokemondb.net/pokedex/bellossom,https://img.pokemondb.net/artwork/bellossom.jpg
183,Marill,Aqua Mouse Pokémon,"['Water', 'Fairy']",0.4 m (1′04″),8.5 kg (18.7 lbs),"['Thick Fat', 'Huge Power', 'Sap Sipper']","['Azurill', 'Marill', 'Azumarill']","The tip of its tail, which contains oil that is lighter than water, lets it swim without drowning.",https://pokemondb.net/pokedex/marill,https://img.pokemondb.net/artwork/marill.jpg
184,Azumarill,Aqua Rabbit Pokémon,"['Water', 'Fairy']",0.8 m (2′07″),28.5 kg (62.8 lbs),"['Thick Fat', 'Huge Power', 'Sap Sipper']","['Azurill', 'Marill', 'Azumarill']","By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers.",https://pokemondb.net/pokedex/azumarill,https://img.pokemondb.net/artwork/azumarill.jpg
185,Sudowoodo,Imitation Pokémon,['Rock'],1.2 m (3′11″),38.0 kg (83.8 lbs),"['Sturdy', 'Rock Head', 'Rattled']","['Bonsly', 'Sudowoodo']","Although it always pretends to be a tree, its composition appears to be closer to a rock than a plant.",https://pokemondb.net/pokedex/sudowoodo,https://img.pokemondb.net/artwork/sudowoodo.jpg
186,Politoed,Frog Pokémon,['Water'],1.1 m (3′07″),33.9 kg (74.7 lbs),"['Water Absorb', 'Damp', 'Drizzle']","['Poliwag', 'Poliwhirl', 'Poliwrath', 'Politoed']","If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gathering from far and wide.",https://pokemondb.net/pokedex/politoed,https://img.pokemondb.net/artwork/politoed.jpg
187,Hoppip,Cottonweed Pokémon,"['Grass', 'Flying']",0.4 m (1′04″),0.5 kg (1.1 lbs),"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","['Hoppip', 'Skiploom', 'Jumpluff']","To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though.",https://pokemondb.net/pokedex/hoppip,https://img.pokemondb.net/artwork/hoppip.jpg
188,Skiploom,Cottonweed Pokémon,"['Grass', 'Flying']",0.6 m (2′00″),1.0 kg (2.2 lbs),"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","['Hoppip', 'Skiploom', 'Jumpluff']",The bloom on top of its head opens and closes as the temperature fluctuates up and down.,https://pokemondb.net/pokedex/skiploom,https://img.pokemondb.net/artwork/skiploom.jpg
189,Jumpluff,Cottonweed Pokémon,"['Grass', 'Flying']",0.8 m (2′07″),3.0 kg (6.6 lbs),"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","['Hoppip', 'Skiploom', 'Jumpluff']","Once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world.",https://pokemondb.net/pokedex/jumpluff,https://img.pokemondb.net/artwork/jumpluff.jpg
190,Aipom,Long Tail Pokémon,['Normal'],0.8 m (2′07″),11.5 kg (25.4 lbs),"['Run Away', 'Pickup', 'Skill Link']","['Aipom', 'Ambipom']",Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.,https://pokemondb.net/pokedex/aipom,https://img.pokemondb.net/artwork/aipom.jpg
191,Sunkern,Seed Pokémon,['Grass'],0.3 m (1′00″),1.8 kg (4.0 lbs),"['Chlorophyll', 'Solar Power', 'Early Bird']","['Sunkern', 'Sunflora']","It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves.",https://pokemondb.net/pokedex/sunkern,https://img.pokemondb.net/artwork/sunkern.jpg
192,Sunflora,Sun Pokémon,['Grass'],0.8 m (2′07″),8.5 kg (18.7 lbs),"['Chlorophyll', 'Solar Power', 'Early Bird']","['Sunkern', 'Sunflora']","It converts sunlight into energy. In the darkness after sunset, it closes its petals and becomes still.",https://pokemondb.net/pokedex/sunflora,https://img.pokemondb.net/artwork/sunflora.jpg
193,Yanma,Clear Wing Pokémon,"['Bug', 'Flying']",1.2 m (3′11″),38.0 kg (83.8 lbs),"['Speed Boost', 'Compound Eyes', 'Frisk']","['Yanma', 'Yanmega']","If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.",https://pokemondb.net/pokedex/yanma,https://img.pokemondb.net/artwork/yanma.jpg
194,Wooper,Water Fish Pokémon,"['Water', 'Ground']",0.4 m (1′04″),8.5 kg (18.7 lbs),"['Damp', 'Water Absorb', 'Unaware']","['Wooper', 'Quagsire', 'Clodsire']",This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside.,https://pokemondb.net/pokedex/wooper,https://img.pokemondb.net/artwork/wooper.jpg
195,Quagsire,Water Fish Pokémon,"['Water', 'Ground']",1.4 m (4′07″),75.0 kg (165.3 lbs),"['Damp', 'Water Absorb', 'Unaware']","['Wooper', 'Quagsire', 'Clodsire']","This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls.",https://pokemondb.net/pokedex/quagsire,https://img.pokemondb.net/artwork/quagsire.jpg
196,Espeon,Sun Pokémon,['Psychic'],0.9 m (2′11″),26.5 kg (58.4 lbs),"['Synchronize', 'Magic Bounce']","['Eevee', 'Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']",It uses the fine hair that covers its body to sense air currents and predict its enemy’s actions.,https://pokemondb.net/pokedex/espeon,https://img.pokemondb.net/artwork/espeon.jpg
197,Umbreon,Moonlight Pokémon,['Dark'],1.0 m (3′03″),27.0 kg (59.5 lbs),"['Synchronize', 'Inner Focus']","['Eevee', 'Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']","When agitated, this POKéMON protects itself by spraying poisonous sweat from its pores.",https://pokemondb.net/pokedex/umbreon,https://img.pokemondb.net/artwork/umbreon.jpg
198,Murkrow,Darkness Pokémon,"['Dark', 'Flying']",0.5 m (1′08″),2.1 kg (4.6 lbs),"['Insomnia', 'Super Luck', 'Prankster']","['Murkrow', 'Honchkrow']","Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.",https://pokemondb.net/pokedex/murkrow,https://img.pokemondb.net/artwork/murkrow.jpg
199,Slowking,Royal Pokémon,"['Water', 'Psychic']",2.0 m (6′07″),79.5 kg (175.3 lbs),"['Oblivious', 'Own Tempo', 'Regenerator']","['Slowpoke', 'Slowbro', 'Slowking']","It has incredible intellect and intuition. Whatever the situation, it remains calm and collected.",https://pokemondb.net/pokedex/slowking,https://img.pokemondb.net/artwork/slowking.jpg
200,Misdreavus,Screech Pokémon,['Ghost'],0.7 m (2′04″),1.0 kg (2.2 lbs),['Levitate'],"['Misdreavus', 'Mismagius']",It likes playing mischievous tricks such as screaming and wailing to startle people at night.,https://pokemondb.net/pokedex/misdreavus,https://img.pokemondb.net/artwork/misdreavus.jpg
201,Unown,Symbol Pokémon,['Psychic'],0.5 m (1′08″),5.0 kg (11.0 lbs),['Levitate'],[],Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related.,https://pokemondb.net/pokedex/unown,https://img.pokemondb.net/artwork/unown.jpg
202,Wobbuffet,Patient Pokémon,['Psychic'],1.3 m (4′03″),28.5 kg (62.8 lbs),"['Shadow Tag', 'Telepathy']","['Wynaut', 'Wobbuffet']","It hates light and shock. If attacked, it inflates its body to pump up its counterstrike.",https://pokemondb.net/pokedex/wobbuffet,https://img.pokemondb.net/artwork/wobbuffet.jpg
203,Girafarig,Long Neck Pokémon,"['Normal', 'Psychic']",1.5 m (4′11″),41.5 kg (91.5 lbs),"['Inner Focus', 'Early Bird', 'Sap Sipper']","['Girafarig', 'Farigiraf']","Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite.",https://pokemondb.net/pokedex/girafarig,https://img.pokemondb.net/artwork/girafarig.jpg
204,Pineco,Bagworm Pokémon,['Bug'],0.6 m (2′00″),7.2 kg (15.9 lbs),"['Sturdy', 'Overcoat']","['Pineco', 'Forretress']",It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn’t bother it.,https://pokemondb.net/pokedex/pineco,https://img.pokemondb.net/artwork/pineco.jpg
205,Forretress,Bagworm Pokémon,"['Bug', 'Steel']",1.2 m (3′11″),125.8 kg (277.3 lbs),"['Sturdy', 'Overcoat']","['Pineco', 'Forretress']",Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.,https://pokemondb.net/pokedex/forretress,https://img.pokemondb.net/artwork/forretress.jpg
206,Dunsparce,Land Snake Pokémon,['Normal'],1.5 m (4′11″),14.0 kg (30.9 lbs),"['Serene Grace', 'Run Away', 'Rattled']","['Dunsparce', 'Dudunsparce']","When spotted, this POKéMON escapes backward by furiously boring into the ground with its tail.",https://pokemondb.net/pokedex/dunsparce,https://img.pokemondb.net/artwork/dunsparce.jpg
207,Gligar,FlyScorpion Pokémon,"['Ground', 'Flying']",1.1 m (3′07″),64.8 kg (142.9 lbs),"['Hyper Cutter', 'Sand Veil', 'Immunity']","['Gligar', 'Gliscor']",It flies straight at its target’s face then clamps down on the startled victim to inject poison.,https://pokemondb.net/pokedex/gligar,https://img.pokemondb.net/artwork/gligar.jpg
208,Steelix,Iron Snake Pokémon,"['Steel', 'Ground']",9.2 m (30′02″),400.0 kg (881.8 lbs),"['Rock Head', 'Sturdy', 'Sheer Force']","['Onix', 'Steelix']","Its body has been compressed deep under the ground. As a result, it is even harder than a diamond.",https://pokemondb.net/pokedex/steelix,https://img.pokemondb.net/artwork/steelix.jpg
209,Snubbull,Fairy Pokémon,['Fairy'],0.6 m (2′00″),7.8 kg (17.2 lbs),"['Intimidate', 'Run Away', 'Rattled']","['Snubbull', 'Granbull']","Although it looks frightening, it is actually kind and affectionate. It is very popular among women.",https://pokemondb.net/pokedex/snubbull,https://img.pokemondb.net/artwork/snubbull.jpg
210,Granbull,Fairy Pokémon,['Fairy'],1.4 m (4′07″),48.7 kg (107.4 lbs),"['Intimidate', 'Quick Feet', 'Rattled']","['Snubbull', 'Granbull']","It is actually timid and easily spooked. If attacked, it flails about to fend off its attacker.",https://pokemondb.net/pokedex/granbull,https://img.pokemondb.net/artwork/granbull.jpg
211,Qwilfish,Balloon Pokémon,"['Water', 'Poison']",0.5 m (1′08″),3.9 kg (8.6 lbs),"['Poison Point', 'Swift Swim', 'Intimidate']","['Qwilfish', 'Overqwil']","To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.",https://pokemondb.net/pokedex/qwilfish,https://img.pokemondb.net/artwork/qwilfish.jpg
212,Scizor,Pincer Pokémon,"['Bug', 'Steel']",1.8 m (5′11″),118.0 kg (260.1 lbs),"['Swarm', 'Technician', 'Light Metal']","['Scyther', 'Scizor', 'Kleavor']",It swings its eye-patterned pincers up to scare its foes. This makes it look like it has three heads.,https://pokemondb.net/pokedex/scizor,https://img.pokemondb.net/artwork/scizor.jpg
213,Shuckle,Mold Pokémon,"['Bug', 'Rock']",0.6 m (2′00″),20.5 kg (45.2 lbs),"['Sturdy', 'Gluttony', 'Contrary']",[],The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.,https://pokemondb.net/pokedex/shuckle,https://img.pokemondb.net/artwork/shuckle.jpg
214,Heracross,Single Horn Pokémon,"['Bug', 'Fighting']",1.5 m (4′11″),54.0 kg (119.0 lbs),"['Swarm', 'Guts', 'Moxie']",[],This powerful POKéMON thrusts its prized horn under its enemies’ bellies then lifts and throws them.,https://pokemondb.net/pokedex/heracross,https://img.pokemondb.net/artwork/heracross.jpg
215,Sneasel,Sharp Claw Pokémon,"['Dark', 'Ice']",0.9 m (2′11″),28.0 kg (61.7 lbs),"['Inner Focus', 'Keen Eye', 'Pickpocket']","['Sneasel', 'Weavile', 'Sneasler']","Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.",https://pokemondb.net/pokedex/sneasel,https://img.pokemondb.net/artwork/sneasel.jpg
216,Teddiursa,Little Bear Pokémon,['Normal'],0.6 m (2′00″),8.8 kg (19.4 lbs),"['Pickup', 'Quick Feet', 'Honey Gather']","['Teddiursa', 'Ursaring', 'Ursaluna']","If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey.",https://pokemondb.net/pokedex/teddiursa,https://img.pokemondb.net/artwork/teddiursa.jpg
217,Ursaring,Hibernator Pokémon,['Normal'],1.8 m (5′11″),125.8 kg (277.3 lbs),"['Guts', 'Quick Feet', 'Unnerve']","['Teddiursa', 'Ursaring', 'Ursaluna']","Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES.",https://pokemondb.net/pokedex/ursaring,https://img.pokemondb.net/artwork/ursaring.jpg
218,Slugma,Lava Pokémon,['Fire'],0.7 m (2′04″),35.0 kg (77.2 lbs),"['Magma Armor', 'Flame Body', 'Weak Armor']","['Slugma', 'Magcargo']","It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden.",https://pokemondb.net/pokedex/slugma,https://img.pokemondb.net/artwork/slugma.jpg
219,Magcargo,Lava Pokémon,"['Fire', 'Rock']",0.8 m (2′07″),55.0 kg (121.3 lbs),"['Magma Armor', 'Flame Body', 'Weak Armor']","['Slugma', 'Magcargo']",The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.,https://pokemondb.net/pokedex/magcargo,https://img.pokemondb.net/artwork/magcargo.jpg
220,Swinub,Pig Pokémon,"['Ice', 'Ground']",0.4 m (1′04″),6.5 kg (14.3 lbs),"['Oblivious', 'Snow Cloak', 'Thick Fat']","['Swinub', 'Piloswine', 'Mamoswine']",It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.,https://pokemondb.net/pokedex/swinub,https://img.pokemondb.net/artwork/swinub.jpg
221,Piloswine,Swine Pokémon,"['Ice', 'Ground']",1.1 m (3′07″),55.8 kg (123.0 lbs),"['Oblivious', 'Snow Cloak', 'Thick Fat']","['Swinub', 'Piloswine', 'Mamoswine']","Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.",https://pokemondb.net/pokedex/piloswine,https://img.pokemondb.net/artwork/piloswine.jpg
222,Corsola,Coral Pokémon,"['Water', 'Rock']",0.6 m (2′00″),5.0 kg (11.0 lbs),"['Hustle', 'Natural Cure', 'Regenerator']","['Corsola', 'Cursola']",It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.,https://pokemondb.net/pokedex/corsola,https://img.pokemondb.net/artwork/corsola.jpg
223,Remoraid,Jet Pokémon,['Water'],0.6 m (2′00″),12.0 kg (26.5 lbs),"['Hustle', 'Sniper', 'Moody']","['Remoraid', 'Octillery']",It has superb accuracy. The water it shoots out can strike even moving prey from more than 300 feet.,https://pokemondb.net/pokedex/remoraid,https://img.pokemondb.net/artwork/remoraid.jpg
224,Octillery,Jet Pokémon,['Water'],0.9 m (2′11″),28.5 kg (62.8 lbs),"['Suction Cups', 'Sniper', 'Moody']","['Remoraid', 'Octillery']",It traps enemies with its suction-cupped tentacles then smashes them with its rock-hard head.,https://pokemondb.net/pokedex/octillery,https://img.pokemondb.net/artwork/octillery.jpg
225,Delibird,Delivery Pokémon,"['Ice', 'Flying']",0.9 m (2′11″),16.0 kg (35.3 lbs),"['Vital Spirit', 'Hustle', 'Insomnia']",[],It carries food all day long. There are tales about lost people who were saved by the food it had.,https://pokemondb.net/pokedex/delibird,https://img.pokemondb.net/artwork/delibird.jpg
226,Mantine,Kite Pokémon,"['Water', 'Flying']",2.1 m (6′11″),220.0 kg (485.0 lbs),"['Swift Swim', 'Water Absorb', 'Water Veil']","['Mantyke', 'Mantine']","As it majestically swims, it doesn’t care if REMORAID attach to it for scavenging its leftovers.",https://pokemondb.net/pokedex/mantine,https://img.pokemondb.net/artwork/mantine.jpg
227,Skarmory,Armor Bird Pokémon,"['Steel', 'Flying']",1.7 m (5′07″),50.5 kg (111.3 lbs),"['Keen Eye', 'Sturdy', 'Weak Armor']",[],"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky.",https://pokemondb.net/pokedex/skarmory,https://img.pokemondb.net/artwork/skarmory.jpg
228,Houndour,Dark Pokémon,"['Dark', 'Fire']",0.6 m (2′00″),10.8 kg (23.8 lbs),"['Early Bird', 'Flash Fire', 'Unnerve']","['Houndour', 'Houndoom']",It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.,https://pokemondb.net/pokedex/houndour,https://img.pokemondb.net/artwork/houndour.jpg
229,Houndoom,Dark Pokémon,"['Dark', 'Fire']",1.4 m (4′07″),35.0 kg (77.2 lbs),"['Early Bird', 'Flash Fire', 'Unnerve']","['Houndour', 'Houndoom']","If you are burned by the flames it shoots from its mouth, the pain will never go away.",https://pokemondb.net/pokedex/houndoom,https://img.pokemondb.net/artwork/houndoom.jpg
230,Kingdra,Dragon Pokémon,"['Water', 'Dragon']",1.8 m (5′11″),152.0 kg (335.1 lbs),"['Swift Swim', 'Sniper', 'Damp']","['Horsea', 'Seadra', 'Kingdra']",It is said that it usually hides in underwater caves. It can create whirlpools by yawning.,https://pokemondb.net/pokedex/kingdra,https://img.pokemondb.net/artwork/kingdra.jpg
231,Phanpy,Long Nose Pokémon,['Ground'],0.5 m (1′08″),33.5 kg (73.9 lbs),"['Pickup', 'Sand Veil']","['Phanpy', 'Donphan']","It swings its long snout around playfully, but because it is so strong, that can be dangerous.",https://pokemondb.net/pokedex/phanpy,https://img.pokemondb.net/artwork/phanpy.jpg
232,Donphan,Armor Pokémon,['Ground'],1.1 m (3′07″),120.0 kg (264.6 lbs),"['Sturdy', 'Sand Veil']","['Phanpy', 'Donphan']","It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house.",https://pokemondb.net/pokedex/donphan,https://img.pokemondb.net/artwork/donphan.jpg
233,Porygon2,Virtual Pokémon,['Normal'],0.6 m (2′00″),32.5 kg (71.7 lbs),"['Trace', 'Download', 'Analytic']","['Porygon', 'Porygon2', 'Porygon-Z']","This upgraded version of PORYGON is designed for space exploration. It can’t fly, though.",https://pokemondb.net/pokedex/porygon2,https://img.pokemondb.net/artwork/porygon2.jpg
234,Stantler,Big Horn Pokémon,['Normal'],1.4 m (4′07″),71.2 kg (157.0 lbs),"['Intimidate', 'Frisk', 'Sap Sipper']","['Stantler', 'Wyrdeer']",The curved antlers subtly change the flow of air to create a strange space where reality is distorted.,https://pokemondb.net/pokedex/stantler,https://img.pokemondb.net/artwork/stantler.jpg
235,Smeargle,Painter Pokémon,['Normal'],1.2 m (3′11″),58.0 kg (127.9 lbs),"['Own Tempo', 'Technician', 'Moody']",[],A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.,https://pokemondb.net/pokedex/smeargle,https://img.pokemondb.net/artwork/smeargle.jpg
236,Tyrogue,Scuffle Pokémon,['Fighting'],0.7 m (2′04″),21.0 kg (46.3 lbs),"['Guts', 'Steadfast', 'Vital Spirit']","['Tyrogue', 'Hitmonlee', 'Hitmonchan', 'Hitmontop']","It is always bursting with energy. To make itself stronger, it keeps on fighting even if it loses.",https://pokemondb.net/pokedex/tyrogue,https://img.pokemondb.net/artwork/tyrogue.jpg
237,Hitmontop,Handstand Pokémon,['Fighting'],1.4 m (4′07″),48.0 kg (105.8 lbs),"['Intimidate', 'Technician', 'Steadfast']","['Tyrogue', 'Hitmonlee', 'Hitmonchan', 'Hitmontop']","If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard.",https://pokemondb.net/pokedex/hitmontop,https://img.pokemondb.net/artwork/hitmontop.jpg
238,Smoochum,Kiss Pokémon,"['Ice', 'Psychic']",0.4 m (1′04″),6.0 kg (13.2 lbs),"['Oblivious', 'Forewarn', 'Hydration']","['Smoochum', 'Jynx']",Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.,https://pokemondb.net/pokedex/smoochum,https://img.pokemondb.net/artwork/smoochum.jpg
239,Elekid,Electric Pokémon,['Electric'],0.6 m (2′00″),23.5 kg (51.8 lbs),"['Static', 'Vital Spirit']","['Elekid', 'Electabuzz', 'Electivire']","It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit.",https://pokemondb.net/pokedex/elekid,https://img.pokemondb.net/artwork/elekid.jpg
240,Magby,Live Coal Pokémon,['Fire'],0.7 m (2′04″),21.4 kg (47.2 lbs),"['Flame Body', 'Vital Spirit']","['Magby', 'Magmar', 'Magmortar']","Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils.",https://pokemondb.net/pokedex/magby,https://img.pokemondb.net/artwork/magby.jpg
241,Miltank,Milk Cow Pokémon,['Normal'],1.2 m (3′11″),75.5 kg (166.4 lbs),"['Thick Fat', 'Scrappy', 'Sap Sipper']",[],"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary.",https://pokemondb.net/pokedex/miltank,https://img.pokemondb.net/artwork/miltank.jpg
242,Blissey,Happiness Pokémon,['Normal'],1.5 m (4′11″),46.8 kg (103.2 lbs),"['Natural Cure', 'Serene Grace', 'Healer']","['Happiny', 'Chansey', 'Blissey']",Anyone who takes even one bite of BLISSEY’s egg becomes unfailingly caring and pleasant to everyone.,https://pokemondb.net/pokedex/blissey,https://img.pokemondb.net/artwork/blissey.jpg
243,Raikou,Thunder Pokémon,['Electric'],1.9 m (6′03″),178.0 kg (392.4 lbs),"['Pressure', 'Inner Focus']",[],The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.,https://pokemondb.net/pokedex/raikou,https://img.pokemondb.net/artwork/raikou.jpg
244,Entei,Volcano Pokémon,['Fire'],2.1 m (6′11″),198.0 kg (436.5 lbs),"['Pressure', 'Inner Focus']",[],"Volcanoes erupt when it barks. Unable to restrain its extreme power, it races headlong around the land.",https://pokemondb.net/pokedex/entei,https://img.pokemondb.net/artwork/entei.jpg
245,Suicune,Aurora Pokémon,['Water'],2.0 m (6′07″),187.0 kg (412.3 lbs),"['Pressure', 'Inner Focus']",[],"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water.",https://pokemondb.net/pokedex/suicune,https://img.pokemondb.net/artwork/suicune.jpg
246,Larvitar,Rock Skin Pokémon,"['Rock', 'Ground']",0.6 m (2′00″),72.0 kg (158.7 lbs),"['Guts', 'Sand Veil']","['Larvitar', 'Pupitar', 'Tyranitar']","It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow.",https://pokemondb.net/pokedex/larvitar,https://img.pokemondb.net/artwork/larvitar.jpg
247,Pupitar,Hard Shell Pokémon,"['Rock', 'Ground']",1.2 m (3′11″),152.0 kg (335.1 lbs),['Shed Skin'],"['Larvitar', 'Pupitar', 'Tyranitar']","Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain.",https://pokemondb.net/pokedex/pupitar,https://img.pokemondb.net/artwork/pupitar.jpg
248,Tyranitar,Armor Pokémon,"['Rock', 'Dark']",2.0 m (6′07″),202.0 kg (445.3 lbs),"['Sand Stream', 'Unnerve']","['Larvitar', 'Pupitar', 'Tyranitar']","Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies.",https://pokemondb.net/pokedex/tyranitar,https://img.pokemondb.net/artwork/tyranitar.jpg
249,Lugia,Diving Pokémon,"['Psychic', 'Flying']",5.2 m (17′01″),216.0 kg (476.2 lbs),"['Pressure', 'Multiscale']",[],It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.,https://pokemondb.net/pokedex/lugia,https://img.pokemondb.net/artwork/lugia.jpg
250,Ho-oh,Rainbow Pokémon,"['Fire', 'Flying']",3.8 m (12′06″),199.0 kg (438.7 lbs),"['Pressure', 'Regenerator']",[],Legends claim this POKéMON flies the world’s skies continuously on its magnificent seven-colored wings.,https://pokemondb.net/pokedex/ho-oh,https://img.pokemondb.net/artwork/ho-oh.jpg
251,Celebi,Time Travel Pokémon,"['Psychic', 'Grass']",0.6 m (2′00″),5.0 kg (11.0 lbs),['Natural Cure'],[],This POKéMON wanders across time. Grass and trees flourish in the forests in which it has appeared.,https://pokemondb.net/pokedex/celebi,https://img.pokemondb.net/artwork/celebi.jpg
252,Treecko,Wood Gecko Pokémon,['Grass'],0.5 m (1′08″),5.0 kg (11.0 lbs),"['Overgrow', 'Unburden']","['Treecko', 'Grovyle', 'Sceptile']",TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.,https://pokemondb.net/pokedex/treecko,https://img.pokemondb.net/artwork/treecko.jpg
253,Grovyle,Wood Gecko Pokémon,['Grass'],0.9 m (2′11″),21.6 kg (47.6 lbs),"['Overgrow', 'Unburden']","['Treecko', 'Grovyle', 'Sceptile']",The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This POKéMON is a master at climbing trees in jungles.,https://pokemondb.net/pokedex/grovyle,https://img.pokemondb.net/artwork/grovyle.jpg
254,Sceptile,Forest Pokémon,['Grass'],1.7 m (5′07″),52.2 kg (115.1 lbs),"['Overgrow', 'Unburden']","['Treecko', 'Grovyle', 'Sceptile']",The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.,https://pokemondb.net/pokedex/sceptile,https://img.pokemondb.net/artwork/sceptile.jpg
